[ 2026-07-05 02:10:35,680 ] 19 root - INFO - Initiate the data ingestion
[ 2026-07-05 02:10:58,233 ] 64 root - INFO - Performed train test split on the dataframe
[ 2026-07-05 02:10:58,233 ] 66 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2026-07-05 02:10:58,234 ] 74 root - INFO - Exporting train and test file path.
[ 2026-07-05 02:10:58,402 ] 83 root - INFO - Exported train and test file path.
[ 2026-07-05 02:10:58,403 ] 21 root - INFO - Data Initiation Completed
[ 2026-07-05 02:10:58,409 ] 25 root - INFO - Initiate the data Validation
[ 2026-07-05 02:10:58,506 ] 32 root - INFO - Required number of columns:2
[ 2026-07-05 02:10:58,506 ] 33 root - INFO - Data frame has columns:31
[ 2026-07-05 02:10:58,506 ] 32 root - INFO - Required number of columns:2
[ 2026-07-05 02:10:58,506 ] 33 root - INFO - Data frame has columns:31
[ 2026-07-05 02:10:58,771 ] 27 root - INFO - data Validation Completed
[ 2026-07-05 02:10:58,771 ] 30 root - INFO - data Transformation started
[ 2026-07-05 02:10:58,771 ] 63 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2026-07-05 02:10:58,771 ] 65 root - INFO - Starting data transformation
[ 2026-07-05 02:10:58,841 ] 48 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[ 2026-07-05 02:10:58,841 ] 53 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2026-07-05 02:10:58,878 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2026-07-05 02:10:58,880 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2026-07-05 02:10:58,880 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2026-07-05 02:10:58,883 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2026-07-05 02:10:58,885 ] 34 root - INFO - data Transformation completed
[ 2026-07-05 02:10:58,885 ] 36 root - INFO - Model Training sstared
[ 2026-07-05 02:18:56,379 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2026-07-05 02:18:56,380 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2026-07-05 02:18:56,380 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2026-07-05 02:18:56,381 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2026-07-05 02:18:56,381 ] 125 root - INFO - Model trainer artifact: ModelTrainerArtifact(trained_model_file_path='Artifacts\\07_05_2026_02_10_32\\model_trainer\\trained_model\\model.pkl', train_metric_artifact=ClassificationMetricArtifact(f1_score=0.9910699127364097, precision_score=0.9909689685611462, recall_score=0.9911708774789459), test_metric_artifact=ClassificationMetricArtifact(f1_score=0.987881209215608, precision_score=0.9859117490696439, recall_score=0.9898585535094743))
[ 2026-07-05 02:18:56,387 ] 41 root - INFO - Model Training artifact created
